Player,Position,Age,Team,Minutes,TS%,3PAr,FTr,TRB%,AST%,STL%,BLK%,TOV%,,,,,,,,,,
Nicolas Batum,SF,32,LAC,1264,0.635,0.677,0.165,9.3,10.7,2,1,9.9,,,,,,,,,,
Serge Ibaka,C,31,LAC,919,0.582,0.311,0.13,16,10.8,0.5,4.4,10.7,,,,,,,,,,
Karl-Anthony Towns,C,25,MIN,874,0.612,0.338,0.322,16.7,21.7,1.1,3.7,14.8,,,,,,,,,,
Kyle Anderson,PF,27,MEM,1116,0.581,0.383,0.254,11.2,17.5,2,2.3,11.1,,,,,,,,,,
Bradley Beal,SG,27,WAS,1454,0.6,0.287,0.354,7.5,24.3,1.6,0.9,11.3,,,,,,,,,,
Pat Connaughton,SG,28,MIL,952,0.605,0.678,0.113,10.8,7.6,1.5,1.6,7.6,,,,,,,,,,
Daniel Theis,C,28,BOS,1027,0.625,0.33,0.233,12,9.2,1.2,3.9,11.4,,,,,,,,,,
Delon Wright,SG,28,TOT,1075,0.559,0.303,0.313,8.7,25.9,2.7,1.6,12.7,,,,,,,,,,
Khem Birch,C,28,ORL,885,0.536,0.099,0.445,13.8,7.6,1.6,3,8.4,,,,,,,,,,
Brandon Ingram,SF,23,NOP,1546,0.592,0.347,0.276,8.1,21.1,0.9,2,10.6,,,,,,,,,,
Terry Rozier,SG,26,CHO,1389,0.619,0.524,0.207,6.2,16.9,1.9,1,10,,,,,,,,,,
Jamal Murray,PG,23,DEN,1526,0.593,0.398,0.193,6.3,20.7,1.8,0.7,11.2,,,,,,,,,,
Jalen Brunson,PG,24,DAL,1005,0.634,0.347,0.29,7.7,19.6,1,0,12.2,,,,,,,,,,
Alec Burks,SG,29,NYK,898,0.563,0.472,0.25,9.3,13,1.5,1.1,8.3,,,,,,,,,,
Kenrich Williams,PF,26,OKC,891,0.641,0.285,0.157,10.5,14.5,1.7,0.9,14.9,,,,,,,,,,
T.J. McConnell,PG,28,IND,1037,0.562,0.091,0.091,7.9,34.6,3.5,1.2,22.4,,,,,,,,,,
Myles Turner,C,24,IND,1268,0.596,0.475,0.326,11.7,4.7,1.4,9.7,11.3,,,,,,,,,,
Joe Harris,SF,29,BRK,1413,0.678,0.662,0.088,6.2,7.8,0.9,0.6,7.1,,,,,,,,,,
Royce O'Neale,SF,27,UTA,1447,0.621,0.724,0.126,11.1,10,1.3,1.3,16.8,,,,,,,,,,
Bruce Brown,PG,24,BRK,883,0.588,0.151,0.257,11.9,9.3,1.6,1.2,10.1,,,,,,,,,,
Jayson Tatum,SF,22,BOS,1421,0.558,0.355,0.221,10.6,20.4,1.8,1.3,9.8,,,,,,,,,,
Maxi Kleber,PF,29,DAL,895,0.656,0.763,0.175,10.7,6.2,0.8,2.8,8.6,,,,,,,,,,
Norman Powell,SG,27,TOT,1313,0.647,0.477,0.29,5.4,9.9,1.8,0.7,10.9,,,,,,,,,,
Kyle Lowry,PG,34,TOR,1324,0.591,0.535,0.26,8.8,32.3,1.4,0.8,16.7,,,,,,,,,,
Fred VanVleet,SG,26,TOR,1473,0.549,0.547,0.232,6.4,26.5,2.3,2,9.7,,,,,,,,,,
LaMelo Ball,PG,19,CHO,1174,0.562,0.411,0.234,11.2,33.3,2.7,1.2,16.5,,,,,,,,,,
Gordon Hayward,SF,30,CHO,1368,0.588,0.314,0.269,9.1,19.1,1.8,1,11.2,,,,,,,,,,
Damion Lee,SG,28,GSW,847,0.628,0.735,0.174,8.9,10,1.5,0.6,7.8,,,,,,,,,,
Jaylen Brown,SG,24,BOS,1462,0.582,0.348,0.235,9.2,18.6,1.7,1.4,11.7,,,,,,,,,,
Steven Adams,C,27,NOP,1180,0.614,0.013,0.411,17.9,9.1,1.5,2.3,18.8,,,,,,,,,,
Brook Lopez,C,32,MIL,1224,0.583,0.495,0.209,9.9,3.4,1.2,4.5,9.3,,,,,,,,,,
Seth Curry,SG,30,PHI,1030,0.601,0.473,0.181,4.1,13.7,1.4,0.7,11.7,,,,,,,,,,
Pascal Siakam,PF,26,TOR,1272,0.542,0.263,0.319,11.5,22,1.6,2,10.1,,,,,,,,,,
Doug McDermott,PF,29,IND,1076,0.621,0.445,0.15,8.5,8.4,0.5,0.3,7.4,,,,,,,,,,
Cameron Johnson,PF,24,PHO,894,0.593,0.675,0.121,7.9,7.9,1.3,1.3,7.8,,,,,,,,,,
Reggie Jackson,SG,30,LAC,927,0.576,0.468,0.165,7,19.2,1.3,0.3,11.4,,,,,,,,,,
Jae'Sean Tate,SF,25,HOU,1284,0.588,0.291,0.237,10.1,9.9,1.9,1.9,11.6,,,,,,,,,,
Robin Lopez,C,32,WAS,884,0.631,0.061,0.388,10.8,6.2,0.7,2.6,13.8,,,,,,,,,,
Malcolm Brogdon,PG,28,IND,1485,0.567,0.371,0.159,7.4,26.2,1.5,0.6,10.5,,,,,,,,,,
Tyrese Haliburton,PG,20,SAC,1205,0.612,0.507,0.092,6.1,22.3,2,1.6,12.6,,,,,,,,,,
Marcus Smart,PG,26,BOS,858,0.542,0.544,0.331,5.2,23.2,2.3,1.4,12.3,,,,,,,,,,
Naz Reid,C,21,MIN,854,0.594,0.289,0.281,12.5,10,1.5,4.8,10.4,,,,,,,,,,
Jordan Clarkson,SG,28,UTA,1158,0.555,0.579,0.115,8.1,13.9,1.6,0.5,10.1,,,,,,,,,,
Marcus Morris,PF,31,LAC,899,0.59,0.525,0.141,8.5,6.1,1,1,7.2,,,,,,,,,,
Monte Morris,PG,25,DEN,980,0.563,0.373,0.206,4.5,16.7,1.3,1,7,,,,,,,,,,
Danny Green,SF,33,PHI,1320,0.579,0.779,0.064,6.9,7.6,2.2,2.6,12.1,,,,,,,,,,
Jae Crowder,PF,30,PHO,1137,0.569,0.745,0.123,10,9.7,1.5,1,8.5,,,,,,,,,,
OG Anunoby,SF,23,TOR,901,0.613,0.519,0.211,9.5,7.8,2.5,2.3,12.2,,,,,,,,,,
Larry Nance Jr.,PF,28,CLE,950,0.575,0.403,0.174,12.1,14,2.7,1.6,14.8,,,,,,,,,,
Devin Booker,SG,24,PHO,1350,0.592,0.304,0.278,6.8,22.4,1.3,0.7,13.7,,,,,,,,,,
Tyus Jones,PG,24,MEM,849,0.502,0.332,0.092,6,28.2,2.7,0.4,10.2,,,,,,,,,,
De'Aaron Fox,PG,23,SAC,1567,0.572,0.298,0.374,5.4,33,1.9,1.1,12.6,,,,,,,,,,
Harrison Barnes,PF,28,SAC,1549,0.61,0.376,0.393,10.2,13.4,1,0.4,10.3,,,,,,,,,,
Keldon Johnson,SF,21,SAS,1161,0.557,0.254,0.284,11.6,9.8,1,1.6,8.9,,,,,,,,,,
Donte DiVincenzo,SG,24,MIL,1199,0.539,0.541,0.11,10.4,14.3,1.9,0.7,12,,,,,,,,,,
Patty Mills,PG,32,SAS,1082,0.599,0.677,0.131,3.5,14.5,1.3,0.1,8.7,,,,,,,,,,
Jerami Grant,SF,26,DET,1478,0.56,0.367,0.368,7.8,14,1,2.8,8.9,,,,,,,,,,
Tim Hardaway Jr.,SG,28,DAL,1267,0.588,0.578,0.179,6.4,9.3,0.9,0.4,6,,,,,,,,,,
Bojan Bogdanovi_,SF,31,UTA,1359,0.567,0.542,0.265,6.7,8.7,0.8,0.1,10.1,,,,,,,,,,
Josh Hart,SF,25,NOP,1271,0.562,0.56,0.249,15.2,10.2,1.5,0.9,10.2,,,,,,,,,,
Isaiah Roby,PF,22,OKC,896,0.589,0.249,0.323,12.6,11.3,1.8,2.5,17.9,,,,,,,,,,
Lonzo Ball,PG,23,NOP,1205,0.562,0.642,0.093,7.3,24.1,2,1.7,13.7,,,,,,,,,,
Jeff Green,C,34,BRK,1129,0.619,0.474,0.287,7.9,6.7,1,1,9,,,,,,,,,,
Shake Milton,SG,24,PHI,936,0.546,0.286,0.293,5.1,18.6,1.2,1,11.9,,,,,,,,,,
Justin Holiday,SG,31,IND,1408,0.6,0.732,0.149,6.5,7,1.8,1,7.9,,,,,,,,,,
Bismack Biyombo,C,28,CHO,917,0.573,0.006,0.429,13.4,8.3,0.6,5.4,17.4,,,,,,,,,,
Kentavious Caldwell-Pope,SG,27,LAL,1099,0.572,0.549,0.213,5.1,7.5,1.5,0.9,12.1,,,,,,,,,,
Kelly Olynyk,C,29,TOT,1182,0.557,0.648,0.109,12.5,12.3,1.8,2.3,12.2,,,,,,,,,,
Saddiq Bey,SF,21,DET,1063,0.577,0.688,0.211,9.4,7.9,1.3,0.4,7.4,,,,,,,,,,
Dennis Schroder,SG,27,LAL,1329,0.542,0.256,0.375,6.2,22.5,1.8,0.7,16.3,,,,,,,,,,
Miles Bridges,PF,22,CHO,1158,0.611,0.448,0.169,11.6,10.7,1.2,2.6,16.4,,,,,,,,,,
Derrick Jones Jr.,SF,23,POR,1079,0.581,0.453,0.3,8.8,4.8,1.4,3.6,8.5,,,,,,,,,,
Bryn Forbes,SG,27,MIL,840,0.612,0.642,0.105,3.5,4.5,0.5,0,6.6,,,,,,,,,,
Devonte' Graham,PG,25,CHO,1020,0.538,0.687,0.22,4.8,24.7,1.4,0.2,10.6,,,,,,,,,,
Reggie Bullock,SF,29,NYK,1083,0.563,0.657,0.091,6.5,7.1,1.3,0.7,8.3,,,,,,,,,,
Dorian Finney-Smith,PF,27,DAL,1035,0.563,0.645,0.098,9.1,6.6,1.4,1.1,8.3,,,,,,,,,,
Kyle Kuzma,SF,25,LAL,1223,0.539,0.488,0.114,13.9,8.6,0.8,1.7,12.7,,,,,,,,,,
Desmond Bane,SG,22,MEM,867,0.613,0.525,0.106,6.9,8,1.4,0.5,11.7,,,,,,,,,,
Sterling Brown,SG,25,HOU,1043,0.58,0.652,0.079,10.2,9.1,1.6,1,10.8,,,,,,,,,,
Lou Williams,PG,34,LAC,918,0.529,0.277,0.277,5.4,23.2,2.1,0.4,12,,,,,,,,,,
Dejounte Murray,PG,24,SAS,1319,0.51,0.208,0.143,11.6,25.7,2.3,0.3,10.1,,,,,,,,,,
Collin Sexton,SG,22,CLE,1403,0.57,0.241,0.31,4.4,21.2,1.5,0.3,11.6,,,,,,,,,,
Draymond Green,PF,30,GSW,1168,0.481,0.338,0.242,11.3,36.2,2.2,2.3,31,,,,,,,,,,
Ja Morant,PG,21,MEM,1103,0.522,0.223,0.373,5.7,35.8,1.3,0.6,13.5,,,,,,,,,,
Davis Bertans,PF,28,WAS,864,0.596,0.882,0.236,6.2,4.7,1.1,0.8,6.2,,,,,,,,,,
Kevin Huerter,SG,22,ATL,1413,0.531,0.545,0.093,6.3,16.4,2,0.7,10.3,,,,,,,,,,
Andre Iguodala,SF,37,MIA,889,0.529,0.759,0.175,9.9,13.7,2.3,2.2,19,,,,,,,,,,
RJ Barrett,SG,20,NYK,1568,0.524,0.234,0.279,9.7,14.9,1.1,0.7,10.7,,,,,,,,,,
P.J. Washington,PF,22,CHO,1182,0.561,0.367,0.269,12,13.9,1.6,4.4,16.9,,,,,,,,,,
Ricky Rubio,PG,30,MIN,1161,0.515,0.383,0.347,6.4,35.9,2.4,0.1,19.3,,,,,,,,,,
Duncan Robinson,SF,26,MIA,1506,0.611,0.857,0.117,6.4,7.9,0.8,0.7,10,,,,,,,,,,
Robert Covington,PF,30,POR,1389,0.561,0.713,0.116,11.2,7.3,2.4,3.4,12.7,,,,,,,,,,
Kendrick Nunn,PG,25,MIA,1087,0.566,0.478,0.099,6.1,15,1.8,0.9,11.4,,,,,,,,,,
Josh Richardson,SG,27,DAL,1126,0.555,0.473,0.219,5.9,12.1,1.5,1.2,11.7,,,,,,,,,,
Malik Beasley,SG,24,MIN,1122,0.575,0.526,0.131,7.5,12.3,1.2,0.4,8.4,,,,,,,,,,
